,Bird,UUID,Age,Type,Sex,Recording,Channel,Cluster,Location,Hemisphere,Lateral,Depth,SocialGroup
152,P47,86c4df39-b961-4ea3-b7a6-7dfde142ae31,122,CR,M,p1r3,9,54,NCM,R,-1031.0,-3977.0,180B
153,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r1,1,49,CM,R,1275.0,-1559.0,180B
154,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r1,31,11,CM,R,1275.0,-1559.0,180B
155,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r1,31,12,CM,R,1275.0,-1559.0,180B
156,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r1,8,44,CM,R,1275.0,-1559.0,180B
157,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r2,14,40,FL,R,1275.0,-2459.0,180B
158,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r2,17,2,FL,R,1275.0,-2459.0,180B
159,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r2,17,4,FL,R,1275.0,-2459.0,180B
160,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r2,1,55,FL,R,1275.0,-2459.0,180B
161,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r2,20,31,FL,R,1275.0,-2459.0,180B
162,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r2,21,20,FL,R,1275.0,-2459.0,180B
163,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r2,22,23,FL,R,1275.0,-2459.0,180B
164,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r2,24,7,FL,R,1275.0,-2459.0,180B
165,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r2,25,14,FL,R,1275.0,-2459.0,180B
166,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r2,25,16,FL,R,1275.0,-2459.0,180B
167,P4,663a00ef-0fb8-4c4d-b443-0f210a01e88d,NA,CR,F,p1r2,26,34,FL,R,1275.0,-2459.0,180B
